@relation RacketSports_channel_4

@attribute channel_4_0 numeric
@attribute channel_4_1 numeric
@attribute channel_4_2 numeric
@attribute channel_4_3 numeric
@attribute channel_4_4 numeric
@attribute channel_4_5 numeric
@attribute channel_4_6 numeric
@attribute channel_4_7 numeric
@attribute channel_4_8 numeric
@attribute channel_4_9 numeric
@attribute channel_4_10 numeric
@attribute channel_4_11 numeric
@attribute channel_4_12 numeric
@attribute channel_4_13 numeric
@attribute channel_4_14 numeric
@attribute channel_4_15 numeric
@attribute channel_4_16 numeric
@attribute channel_4_17 numeric
@attribute channel_4_18 numeric
@attribute channel_4_19 numeric
@attribute channel_4_20 numeric
@attribute channel_4_21 numeric
@attribute channel_4_22 numeric
@attribute channel_4_23 numeric
@attribute channel_4_24 numeric
@attribute channel_4_25 numeric
@attribute channel_4_26 numeric
@attribute channel_4_27 numeric
@attribute channel_4_28 numeric
@attribute channel_4_29 numeric
@attribute activity {Badminton_Smash,Badminton_Clear,Squash_ForehandBoast,Squash_BackhandBoast}

@data
0.03196,-1.725865,-1.523449,-1.086656,-0.183773,0.516694,0.561972,0.292971,-0.183773,-0.002663,-2.048133,-13.026555,-17.415792,29.832436,3.382483,2.988304,-1.811093,0.114525,0.386189,-0.628556,-1.704558,-1.853707,-1.222488,-1.182537,-1.182537,-0.255684,-0.255684,-0.255684,-0.255684,-0.255684,Badminton_Smash
-0.23704,0.551318,0.588605,0.588605,0.463427,0.364882,-0.167792,-0.258347,0.572625,3.960435,0.492724,-0.977458,17.519665,-1.16123,-2.28251,1.486162,-3.052225,-1.052032,0.564635,0.564635,0.564635,0.564635,0.564635,0.564635,0.870923,1.246458,1.278419,-1.640638,-3.973752,-2.847145,Badminton_Smash
-0.085228,-0.902883,-0.428803,-0.428803,-0.428803,-0.609912,0.860269,1.16123,0.46609,1.110626,0.705794,1.478172,1.5634,1.065349,0.412823,2.325124,8.498822,11.721502,-3.214691,-4.660902,-2.780561,-0.814992,-1.337013,0.03196,1.675261,2.25854,1.448875,0.956151,0.386189,0.572625,Badminton_Smash
-0.114525,-2.223916,-1.981549,-1.315706,-0.977458,-0.977458,-0.295634,-0.189099,0.19709,0.146486,-0.005327,-2.863126,-2.863126,-18.917934,34.61319,34.61319,1.408924,-0.276991,-0.596595,-1.273092,-0.977458,-1.286409,-1.920292,-1.645964,-1.249122,-0.548655,-0.324931,-0.125179,0.607249,0.607249,Badminton_Smash
-0.053267,0.378199,-0.034624,-0.154476,1.917628,2.964334,0.396843,10.312578,16.712664,9.71332,-3.235998,-1.15324,-1.14525,0.111862,-0.101208,1.331686,1.331686,0.19709,-0.727101,-0.202416,-0.202416,0.215733,-0.412823,0.255684,-0.077238,-0.077238,-0.018644,0.117188,-0.109198,-0.964141,Badminton_Smash
-0.378199,1.060022,1.060022,2.998957,3.014938,3.014938,23.696026,-34.639824,-1.400934,-2.24256,-1.398271,-1.398271,-1.036052,-1.036052,-0.122515,0.556645,2.000193,-0.969468,-1.049369,-1.036052,-1.179874,0.623229,0.822982,2.0215,1.182537,-0.146486,-1.134597,-0.913537,-1.022735,-0.378199,Badminton_Smash
-0.239704,-0.282318,-0.282318,0.151812,0.700467,0.881576,0.721774,1.933608,0.966804,0.087891,1.033389,1.781796,2.223916,2.892423,3.073532,9.233912,14.592618,-23.166014,-4.860655,0.735091,-0.069248,-0.977458,-0.977458,0.189099,1.488825,1.360983,1.017408,0.218397,0.218397,-0.567298,Badminton_Smash
-0.740418,1.337013,1.337013,0.186436,0.4581,-0.631219,-0.921527,-0.157139,3.901841,-0.809665,2.112054,18.553053,-34.02991,1.526112,-2.183965,-1.699232,0.093218,0.354229,0.45011,0.559308,-0.894893,-0.210406,0.873586,1.065349,1.893658,1.893658,1.893658,1.893658,1.893658,-0.178446,Badminton_Smash
-0.106535,0.753734,-0.386189,-0.386189,-0.375536,-0.034624,0.452773,1.278419,1.61134,1.869688,2.532867,3.132126,2.831165,5.00714,10.504341,5.348052,-18.26541,-5.960628,0.455437,-0.854943,-0.775041,1.217161,1.217161,2.215926,2.389045,1.422241,1.422241,0.085228,0.234377,0.005327,Badminton_Smash
-1.696568,-0.65519,-0.335585,1.446211,1.57139,1.57139,1.57139,23.269886,-7.100551,-1.462192,-3.385147,0.282318,0.623229,-0.117188,-1.062686,-1.936272,-3.59289,1.147914,1.147914,1.147914,1.147914,1.147914,0.886903,0.801675,1.073339,-0.090555,-1.906975,-1.632647,-0.378199,0.684487,Badminton_Smash
